user_location_latitude,user_location_longitude,srch_destination_latitude,srch_destination_longitude
29.769607,-95.42647,32.412406,-99.76476
32.93431,-97.22274,32.412406,-99.76476
34.0906905,-81.167738,31.617903,-84.2226
33.58452,-111.92078,31.545305,-97.1281
40.815635,-84.9375395,31.545305,-97.1281
29.769607,-95.42647,31.545305,-97.1281
33.624855,-97.1558995,31.545305,-97.1281
47.614658,-122.33536,40.80165,-124.15743
33.052429,-117.295522,40.80165,-124.15743
37.483438,-122.226053,40.80165,-124.15743
38.593696,-121.28569,40.80165,-124.15743
44.05211,-123.08964,40.80165,-124.15743
29.804927,-94.982003,40.80165,-124.15743
32.06849,-81.112845,33.95772,-83.388577
33.2829465,-84.291556,33.95772,-83.388577
43.03867,-87.91772,33.95772,-83.388577
35.44583,-86.77678,33.95772,-83.388577
30.3279525,-97.738881,33.95772,-83.388577
43.152895,-78.696895,33.95772,-83.388577
34.22335,-85.15452,33.95772,-83.388577
30.444487,-97.665665,30.364678,-103.639926
39.7478,-104.9406725,35.19135,-101.89983
30.268643,-81.601406,35.19135,-101.89983
35.46408,-97.56946,35.19135,-101.89983
40.32617,-75.12968,35.19135,-101.89983
32.70209,-96.00075,35.19135,-101.89983
32.729658,-97.790185,35.19135,-101.89983
30.8484,-96.96831,35.19135,-101.89983
30.21374,-93.36736,35.19135,-101.89983
41.25553,-96.05259,45.08239,-83.47018
45.53246,-122.6637,44.26222,-88.46827
41.89042,-87.62904,44.317156,-69.80534
33.679011,-117.8395565,30.29966,-97.78872
NA,NA,43.94932,4.816989
43.6104595,-84.739925,42.26536,-85.58328
42.26229,-85.594769,42.26536,-85.58328
40.71186,-74.172502,11.004723,-74.812281
40.53345,-80.17794,41.91562,-78.76539
30.670728,-97.917711,35.38047,-119.043354
40.80108,-124.167556,35.38047,-119.043354
35.62567,-120.69128,35.38047,-119.043354
34.98647,-97.36814,35.38047,-119.043354
39.7478,-104.9406725,35.38047,-119.043354
35.45915,-86.0547,35.38047,-119.043354
35.36798,-119.04316,35.38047,-119.043354
34.0695,-117.43694,35.38047,-119.043354
33.304212,-111.9007985,35.38047,-119.043354
41.801519,-88.1342,35.38047,-119.043354
36.79204,-119.79045,35.38047,-119.043354
33.41234,-111.94607,35.38047,-119.043354
40.76498,-111.897735,35.38047,-119.043354
37.35258,-121.96956,35.38047,-119.043354
39.140906,-123.205418,35.38047,-119.043354
38.5958,-121.4831315,35.38047,-119.043354
32.760625,-117.168396,35.38047,-119.043354
34.24724,-110.04429,44.39461,-68.22302
38.447515,-105.213455,44.39461,-68.22302
44.91768,-85.38311,45.75373,-108.55272
38.963475,-92.3246895,45.75373,-108.55272
42.85669,-106.329927,45.75373,-108.55272
46.878967,-114.034557,45.75373,-108.55272
43.13084,-77.622215,45.75373,-108.55272
47.400365,-122.2481175,45.75373,-108.55272
19.723724,-155.090341,45.75373,-108.55272
47.49418,-111.31273,45.75373,-108.55272
NA,NA,45.75373,-108.55272
27.968524,-82.456247,45.75373,-108.55272
45.53246,-122.6637,45.75373,-108.55272
41.1255065,-104.8335265,45.75373,-108.55272
46.591275,-112.00536,45.75373,-108.55272
39.969391,-104.82851,45.75373,-108.55272
29.769607,-95.42647,30.05232,-94.14188
30.06622,-94.13552,30.05232,-94.14188
45.69789,-111.04819,45.985898,-112.50807
33.0414095,-84.9774565,34.1839,-118.3272
37.7873335,-122.4134715,34.1839,-118.3272
NA,NA,34.1839,-118.3272
40.76498,-111.897735,45.69789,-111.04859
46.878967,-114.034557,45.69789,-111.04859
37.334754,-121.905447,45.69789,-111.04859
44.52037,-122.90324,45.69789,-111.04859
47.614658,-122.33536,45.69789,-111.04859
45.69789,-111.04819,45.69789,-111.04859
39.7478,-104.9406725,45.69789,-111.04859
45.75443,-108.54942,45.69789,-111.04859
NA,NA,34.01451,-81.03724
34.716525,-82.2572835,34.01451,-81.03724
38.221425,-85.68279,34.01451,-81.03724
28.453002,-81.456739,34.01451,-81.03724
33.791548,-84.385284,34.01451,-81.03724
42.55055,-83.0291,34.01451,-81.03724
35.6450085,-80.4806335,34.01451,-81.03724
32.982355,-80.03714,34.01451,-81.03724
46.831105,-100.7733845,34.01451,-81.03724
34.22695,-79.80322,34.01451,-81.03724
25.477565,-80.44343,23.136268,113.312573
33.568052,-84.37207,35.043222,-85.240201
39.10478,-90.322615,35.043222,-85.240201
25.928241,-80.245306,35.043222,-85.240201
35.0413,-85.2085095,35.043222,-85.240201
42.1605895,-70.9021595,35.043222,-85.240201
NA,NA,35.043222,-85.240201
37.07874,-88.67779,35.043222,-85.240201
32.23391,-110.95488,31.66261,-106.4475
33.541725,-112.25903,31.66261,-106.4475
26.176243,-80.227383,9.611214,-13.591
NA,NA,33.12571,-117.2883
34.0287535,-84.049285,33.12571,-117.2883
37.334754,-121.905447,33.12571,-117.2883
40.45272,-122.291809,33.12571,-117.2883
31.55322,-97.12989,30.62921,-96.31858
NA,NA,30.62921,-96.31858
29.466619,-98.490578,30.62921,-96.31858
40.66546,-74.1931,18.786246,98.994455
33.89037,-118.39606,18.786246,98.994455
33.932769,-84.211644,38.96029,-92.294331
35.46408,-97.56946,38.96029,-92.294331
40.32617,-75.12968,38.96029,-92.294331
37.52419,-122.27035,38.96029,-92.294331
35.826376,-84.277435,38.96029,-92.294331
29.6044905,-95.6235135,27.79694,-97.39128
30.05173,-95.43381,27.79694,-97.39128
32.834626,-96.81629,27.79694,-97.39128
NA,NA,27.79694,-97.39128
30.3279525,-97.738881,27.79694,-97.39128
29.769607,-95.42647,27.79694,-97.39128
29.905275,-81.3721395,32.49709,-84.88702
40.85608,-74.04726,32.49709,-84.88702
30.39348,-88.9366795,32.49709,-84.88702
37.7873335,-122.4134715,10.423611,-75.548757
37.7873335,-122.4134715,-6.800478,39.23046
41.7172665,-87.7746235,42.49601,-90.67473
41.89042,-87.62904,42.49601,-90.67473
42.237222,-87.99582,42.49601,-90.67473
35.217613,-80.84905,31.22449,-85.429001
46.7855345,-92.103295,46.86253,-102.8102
44.021559,-92.4680545,46.86253,-102.8102
43.655265,-93.340261,46.78208,-92.10205
39.7478,-104.9406725,46.78208,-92.10205
NA,NA,46.78208,-92.10205
35.1054025,-89.92212,46.78208,-92.10205
39.54837,-89.29332,40.14511,-87.59988
38.308775,-104.61737,51.513,7.458771
33.58452,-111.92078,7.076682,125.615184
30.3279525,-97.738881,7.076682,125.615184
47.614658,-122.33536,25.207977,55.275153
30.62359,-96.31953,25.207977,55.275153
NA,NA,25.207977,55.275153
34.059768,-118.312427,40.67352,-99.086541
44.440834,-89.521724,40.67352,-99.086541
39.951417,-75.16784,18.42034,-64.62942
25.77746,-80.21789,18.42034,-64.62942
40.269066,-76.69026,18.42034,-64.62942
37.505695,-120.86916,40.848513,-115.747033
30.3279525,-97.738881,40.848513,-115.747033
39.0483055,-122.91507,40.848513,-115.747033
42.270714,-88.969251,31.78105,-106.404565
34.418996,-119.696925,31.78105,-106.404565
33.488291,-112.072892,31.78105,-106.404565
38.05153,-103.71392,31.78105,-106.404565
43.597074,-116.2149145,39.27115,-114.8711
40.84085,-79.924798,42.070384,-80.080429
40.446416,-80.0039,42.070384,-80.080429
42.929909,-75.862,42.070384,-80.080429
NA,NA,45.775506,-87.08342
42.063287,-88.147705,45.775506,-87.08342
30.387715,-88.64578,31.31538,-92.4782
36.033681,-86.79092,37.97755,-87.49267
41.89042,-87.62904,37.97755,-87.49267
47.61105,-122.19067,64.840215,-147.725327
40.75512,-73.983009,64.840215,-147.725327
43.138289,-111.01359,64.840215,-147.725327
41.60802,-88.20223,64.840215,-147.725327
29.17257,-82.185533,34.227303,-79.80298
36.87296,-76.22866,34.227303,-79.80298
37.555881,-77.49833,34.227303,-79.80298
