user_location_latitude,user_location_longitude,srch_destination_latitude,srch_destination_longitude
33.911725,-98.5181455,32.412406,-99.76476
NA,NA,32.412406,-99.76476
30.331495,-95.47802,32.412406,-99.76476
29.769607,-95.42647,32.412406,-99.76476
33.456984,-112.303853,32.412406,-99.76476
NA,NA,32.412406,-99.76476
31.7824245,-106.408123,32.412406,-99.76476
33.19873,-97.13842,32.412406,-99.76476
41.89042,-87.62904,32.412406,-99.76476
41.89042,-87.62904,32.412406,-99.76476
28.859468,-96.9946095,32.412406,-99.76476
NA,NA,32.412406,-99.76476
33.911725,-98.5181455,32.412406,-99.76476
35.19196,-101.87278,32.412406,-99.76476
NA,NA,32.412406,-99.76476
33.939075,-117.253374,32.412406,-99.76476
32.93431,-97.22274,32.412406,-99.76476
29.466619,-98.490578,32.412406,-99.76476
NA,NA,32.412406,-99.76476
41.89042,-87.62904,32.412406,-99.76476
NA,NA,32.412406,-99.76476
40.86052,-74.06692,5.293667,-4.004298
NA,NA,45.47962,-98.53459
33.90964,-84.80594,31.617903,-84.2226
31.6118465,-84.18704,31.617903,-84.2226
34.0906905,-81.167738,31.617903,-84.2226
33.557598,-85.074775,31.617903,-84.2226
42.33291,-83.0529,5.597013,-0.178161
38.99796,-77.02829,5.597013,-0.178161
NA,NA,41.28735,-70.08851
33.58452,-111.92078,31.545305,-97.1281
32.9749125,-96.718495,31.545305,-97.1281
40.815635,-84.9375395,31.545305,-97.1281
47.400365,-122.2481175,31.545305,-97.1281
32.7594445,-97.0445355,31.545305,-97.1281
29.769607,-95.42647,31.545305,-97.1281
31.11505,-97.87405,31.545305,-97.1281
32.31373,-95.313465,31.545305,-97.1281
32.834626,-96.81629,31.545305,-97.1281
32.31373,-95.313465,31.545305,-97.1281
29.769607,-95.42647,31.545305,-97.1281
33.624855,-97.1558995,31.545305,-97.1281
30.05173,-95.43381,31.545305,-97.1281
33.911725,-98.5181455,31.545305,-97.1281
30.4782215,-84.282615,31.545305,-97.1281
29.908959,-90.0508495,31.545305,-97.1281
33.028782,-96.7917885,31.545305,-97.1281
32.31373,-95.313465,31.545305,-97.1281
47.614658,-122.33536,40.80165,-124.15743
37.279261,-121.9403045,40.80165,-124.15743
